"Isolate","Pool","Origin","Geographic Origin"
"PSAE1654","clin_iso_SQ_pool5","Munich","Munich"
"PSAE1837","clin_iso_SQ_pool5","Gera","Gera"
"PSAE1912","clin_iso_SQ_pool5","Regensburg","Regensburg"
"PSAE1934","clin_iso_SQ_pool5","Bremen","Bremen"
"PSAE1975","clin_iso_SQ_pool5","Regensburg","Regensburg"
"PSAE2125","clin_iso_SQ_pool5","Neubrandenburg","Neubrandenburg"
"CH2472","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2671","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2672","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2674","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2675","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2677","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2680","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2682","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2706","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH2734","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH3613","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH4755","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"PSAE2126","clin_iso_SQ_pool5","Neubrandenburg","Neubrandenburg"
"PSAE2325","clin_iso_SQ_pool5","Neubrandenburg","Neubrandenburg"
"PSAE1970","clin_iso_SQ_pool5","Regensburg","Regensburg"
"CH4862","clin_iso_SQ_pool5","Charité Berlin","Berlin"
"CH5362","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5432","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5066","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5159","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5174","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5182","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2502","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5206","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH4891","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2639","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH4443","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH4446","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"ZG5044412","clin_iso_SQ_pool6","nd","nd"
"CH2678","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5596","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5621","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2500","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2685","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2707","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2690","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2698","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH3462","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2724","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2829","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2830","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH2848","clin_iso_SQ_pool6","Charité Berlin","Berlin"
"CH5267","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH2804","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH2824","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH3466","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4549","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4560","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4574","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4584","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH5052","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4916","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4976","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4990","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH5022","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH4992","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"ZG02420619","clin_iso_SQ_pool7","Riesa","Riesa"
