"Isolate","Pool","Origin","Geographic Origin"
"ESP063","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP064","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP065","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"M70563004","clin_iso_SQ_pool23","University hospital Münster","Münster"
"M70564314","clin_iso_SQ_pool23","University hospital Münster","Münster"
"M70564993","clin_iso_SQ_pool23","University hospital Münster","Münster"
"M70565897","clin_iso_SQ_pool23","University hospital Münster","Münster"
"M70565254","clin_iso_SQ_pool23","University hospital Münster","Münster"
"ESP058","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP059","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"F1689","clin_iso_SQ_pool23","University hospital Frankfurt","Frankfurt"
"F1706","clin_iso_SQ_pool23","University hospital Frankfurt","Frankfurt"
"F1724","clin_iso_SQ_pool23","University hospital Frankfurt","Frankfurt"
"F1727","clin_iso_SQ_pool23","University hospital Frankfurt","Frankfurt"
"F1688","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1730","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1746","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1754","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1759","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1764","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1795","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1745","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1757","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1775","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1796","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1798","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1801","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1812","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"F1821","clin_iso_SQ_pool24","University hospital Frankfurt","Frankfurt"
"ESP066","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP067","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP068","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP069","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP070","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP071","clin_iso_SQ_pool24","University hospital Palma de Mallorca, Spain"
"ESP072","clin_iso_SQ_pool26","University hospital Palma de Mallorca, Spain"
"ESP073","clin_iso_SQ_pool26","University hospital Palma de Mallorca, Spain"
"ESP074","clin_iso_SQ_pool26","University hospital Palma de Mallorca, Spain"
"Vb3320","clin_iso_SQ_pool26","University hospital Essen","Essen"
"Vb16696","clin_iso_SQ_pool26","University hospital Essen","Essen"
"Vb20477","clin_iso_SQ_pool26","University hospital Essen","Essen"
"CF609_Iso4","clin_iso_SQ_pool26","University hospital Essen","Essen"
"CF590_Iso5","clin_iso_SQ_pool26","University hospital Essen","Essen"
"ESP075","clin_iso_SQ_pool26","University hospital Palma de Mallorca, Spain"
"ESP076","clin_iso_SQ_pool26","University hospital Palma de Mallorca, Spain"
"F1741","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1800","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1862","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1864","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1869","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1880","clin_iso_SQ_pool26","University hospital Frankfurt","Frankfurt"
"F1883","clin_iso_SQ_pool27","University hospital Frankfurt","Frankfurt"
"ESP084","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP002","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP003","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP004","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP005","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP006","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"CF592_Iso2","clin_iso_SQ_pool27","University hospital Essen","Essen"
"CF609_Iso3","clin_iso_SQ_pool27","University hospital Essen","Essen"
"CF609_Iso5","clin_iso_SQ_pool27","University hospital Essen","Essen"
"ESP081","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"M70608424","clin_iso_SQ_pool27","University hospital Münster","Münster"
"CF577_Iso7","clin_iso_SQ_pool27","University hospital Essen","Essen"
"CF610_Iso3","clin_iso_SQ_pool27","University hospital Essen","Essen"
"ESP077","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP082","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP083","clin_iso_SQ_pool27","University hospital Palma de Mallorca, Spain"
"ESP078","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP079","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP087","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP088","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP089","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP091","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP092","clin_iso_SQ_pool28","University hospital Palma de Mallorca, Spain"
"ESP001","clin_iso_SQ_pool32","University hospital Palma de Mallorca, Spain"
"MD9121","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD9126","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD9212","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD9120","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD1037","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD1498","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD6439","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD6136","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD8386","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD9481","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD9723","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
"MD7404","clin_iso_SQ_pool32","University hospital Magdeburg","Magdeburg"
